N,P,K,S,Fe,Zn,temperature,ph,rainfall,label
79,51,46,22,3,3,20.13694364,6.353895043,118.1886665,rice
79,40,12,27,60,32,25.61889613,5.947660599,91.58559643,maize
49,74,81,10,10,40,17.75852054,6.025058196,68.56177287,chickpea
34,67,22,12,12,58,25.74699818,8.158535531,39.09501653,lentil
14,28,34,29,3,4,21.86326738,7.901592378,112.7115833,pomegranate
100,96,46,42,58,19,25.70173401,5.861010269,119.0215013,banana
22,39,29,50,52,71,34.91170501,6.987390743,107.6636922,mango
17,134,198,37,37,32,21.79042881,6.932080406,71.76729303,grapes
4,142,198,40,66,34,22.84792952,6.231411944,112.9822069,apple
23,19,10,30,4,15,17.27957416,8.61781941,115.6559366,orange
137,43,17,1,98,31,25.53622746,6.289311329,82.18516868,cotton
104,10,14,21,12,6,26.46750496,6.485091022,100.263281,coffee
75,5,43,17,4,3,21.73307228,7.96213556,208.4641977,rice
66,38,19,27,72,33,21.97694423,7.896343541,94.96832102,maize
45,65,80,12,6,28,19.4121122,8.727966457,70.05252221,chickpea
11,60,23,9,15,67,28.63640162,6.11976218,49.37368259,lentil
29,16,43,21,2,4,23.59647102,7.790953493,111.7572512,pomegranate
91,71,50,24,52,18,28.28102129,6.568808196,113.7440822,banana
9,32,34,57,53,80,28.62493455,5.918002428,85.92202563,mango
20,129,196,40,41,48,24.26034683,6.691097521,71.74608774,grapes
14,125,204,43,46,35,22.23728142,7.284072059,123.6160329,apple
27,35,12,36,10,4,24.52144359,7.592303546,106.844894,orange
130,55,18,5,106,42,24.23018646,7.134782753,68.7767923,cotton
96,30,30,36,57,3,26.08017476,5.752592584,113.9246246,coffee
97,47,47,19,4,2,19.66380351,6.262199211,221.2870947,rice
78,55,16,25,74,32,26.45069793,6.369952693,73.49059249,maize
35,57,79,11,6,41,23.18875114,7.233268866,97.34799802,chickpea
38,76,22,10,11,61,27.90128808,6.062456596,45.35843282,lentil
31,9,42,26,4,4,24.47893504,6.217817397,111.3965276,pomegranate
119,89,55,42,57,14,24.66407409,7.387086223,126.1618518,banana
76,39,29,59,63,70,32.13542816,7.574082158,94.69150155,mango
38,122,199,48,52,43,23.43557306,7.538550619,69.94700763,grapes
7,134,202,51,67,20,22.5456494,6.318838409,110.5904147,apple
33,27,39,17,15,12,34.58244686,7.349473168,112.1788616,orange
118,46,12,2,105,27,25.87896825,5.915138836,84.939851,cotton
9,16,40,17,6,4,22.50977308,6.041151613,109.1680555,coffee
109,36,42,25,9,2,20.53459359,8.934023459,194.0047376,rice
79,66,27,25,86,27,23.70228771,7.363911157,106.9887393,maize
55,58,79,4,3,31,16.89613788,6.603497131,91.16312288,chickpea
36,59,17,11,12,42,26.82207675,5.838254857,50.329514,lentil
13,20,39,27,4,2,21.14646591,8.077630974,117.3848501,pomegranate
115,80,56,43,62,20,30.8893963,7.214430223,114.7704763,banana
103,37,31,17,5,2,26.27224269,7.735716137,94.06986568,mango
18,144,198,31,48,31,23.29778334,7.398917171,72.96597229,grapes
11,135,199,52,90,49,22.08072609,6.449933451,119.4801577,apple
12,25,5,30,8,2,21.56687996,7.898453849,122.4566196,orange
111,37,31,3,1,28,24.34443162,5.984777323,93.29569465,cotton
100,28,21,24,3,18,27.03467379,7.272084997,137.321023,coffee
103,25,45,16,8,1,24.71050943,5.870383832,225.4223708,rice
74,42,20,22,70,3,22.10766659,7.573665897,102.5874246,maize
57,72,81,12,7,47,20.88394939,6.789115143,69.83724291,chickpea
8,59,21,11,10,30,20.94575198,7.675821243,40.03982085,lentil
14,26,37,22,3,1,20.68317889,7.841277568,111.3961554,pomegranate
95,78,40,20,59,18,29.64477597,7.253970027,102.0171001,banana
10,37,24,58,59,80,36.39641374,5.608573205,84.53516976,mango
34,139,44,45,46,47,24.30773412,6.659206117,71.34933327,grapes
25,137,202,51,101,41,21.29820844,7.298748886,110.9542139,apple
26,13,6,50,15,7,27.15625516,6.437581236,105.1001325,orange
110,57,19,4,109,25,20.94227627,8.639336088,76.83870008,cotton
33,21,35,19,7,5,27.75944789,5.677189758,181.654162,coffee
93,23,42,17,6,3,20.81338633,7.029383671,207.3544509,rice
100,38,21,23,77,26,23.38971922,6.120780381,189.7579221,maize
50,75,85,11,5,38,17.88921575,8.711260917,68.00092894,chickpea
0,77,17,10,10,60,24.9913679,7.978496915,54.07832686,lentil
16,29,35,18,3,3,21.68206171,6.451352862,114.7258174,pomegranate
111,83,52,43,59,17,33.50214145,6.861776074,118.6870569,banana
32,23,30,48,50,57,31.32180003,6.113018769,99.6955282,mango
29,143,200,28,36,43,20.18525658,7.538835314,67.35958462,grapes
3,122,196,37,67,25,23.17537968,6.790186874,121.998429,apple
2,6,11,36,9,13,31.10296897,7.391828495,99.93510634,orange
126,49,16,2,116,27,23.94962663,8.718215096,91.00384572,cotton
20,36,19,28,4,2,26.30360305,7.692184207,75.561282,coffee
107,40,23,18,78,2,19.62250548,6.286964312,224.8210496,rice
96,35,18,21,66,35,24.37566103,7.70581944,99.65266534,maize
34,52,80,7,12,37,19.49889363,5.881934826,63.33317621,chickpea
69,72,21,7,12,56,25.5964641,7.377883477,45.28432002,lentil
29,22,43,27,4,6,20.21292016,8.317200035,111.6074644,pomegranate
125,89,48,39,90,15,23.43022607,7.345625164,116.7469517,banana
12,26,29,58,68,64,29.79908011,6.540065496,93.44798722,mango
15,128,200,32,32,33,19.36115786,6.179561557,71.84790998,grapes
27,135,205,47,78,37,23.05872505,7.02926517,77.78778642,apple
19,5,40,40,13,17,9.244705612,6.62922472,104.9982937,orange
105,47,18,9,97,37,24.26902921,7.108102665,84.43642664,cotton
33,62,43,46,32,38,29.94095518,6.980791732,92.95766142,coffee
78,8,11,21,11,8,24.12864485,6.914972977,120.1491302,rice
82,50,19,22,69,24,23.40137627,6.25445433,70.60767369,maize
48,69,83,8,8,43,17.4553208,6.844621899,83.49659286,chickpea
5,78,19,12,14,48,25.12025482,7.466652932,54.03566601,lentil
9,10,47,32,3,4,21.20206697,6.798432148,106.4759117,pomegranate
92,96,46,43,53,15,30.29245947,5.687438839,100.653028,banana
101,53,31,50,64,47,29.72850243,7.663412449,101.3131609,mango
27,141,205,33,47,41,24.48902167,6.651649871,80.92097052,grapes
8,126,200,31,51,39,22.97535094,7.251109116,85.54919344,apple
6,12,14,32,13,11,26.84000267,8.691662345,109.5186253,orange
108,56,28,3,90,1,22.69762752,8.431426451,188.0168297,cotton
21,25,17,26,66,53,25.753121,5.920772789,105.1152222,coffee
36,18,37,23,7,1,21.72738737,5.985018713,107.2999815,rice
83,51,13,27,71,20,23.90349773,6.119334206,104.3086897,maize
45,62,85,10,4,28,17.02288099,6.224519945,66.33030684,chickpea
100,75,17,9,8,29,23.33816013,8.354411943,41.4690891,lentil
4,30,42,25,2,5,22.03936159,6.21122475,109.7763402,pomegranate
113,89,55,25,52,19,28.92661827,7.08919016,109.5113322,banana
37,24,26,52,57,40,34.61289732,7.017765806,101.4701483,mango
35,140,199,35,37,31,20.83806278,6.808277802,80.02068015,grapes
28,128,198,51,139,26,22.44163886,6.597073588,108.4310773,apple
19,18,11,38,13,14,26.75073061,8.897762909,116.7313531,orange
115,55,34,1,101,43,24.31261297,6.057082138,222.5769486,cotton
76,18,11,26,4,6,23.94724211,6.362587943,115.7412504,coffee
101,54,21,19,96,2,22.95808631,6.62192666,197.7302774,rice
96,36,28,25,9,4,22.21286692,6.94567024,194.8593984,maize
34,68,82,12,9,46,17.64612603,8.588360244,71.43082747,chickpea
2,76,16,9,12,59,25.8736609,6.986226265,44.96390976,lentil
57,11,42,19,3,5,25.48017961,6.15700964,114.3953783,pomegranate
103,97,51,47,45,17,30.2158692,6.928186563,124.9780352,banana
34,36,22,49,53,76,32.37250651,6.804237025,92.766312,mango
5,119,201,41,36,51,20.65439457,5.584920607,65.0534978,grapes
4,143,16,51,49,20,23.99615943,7.007579951,108.8099513,apple
117,32,10,29,10,6,22.0122689,7.172665056,114.7679258,orange
109,35,33,2,96,26,26.91483657,6.013162142,103.1193045,cotton
85,43,25,27,72,3,21.95283366,5.970610729,82.07672956,coffee
62,53,36,19,5,5,27.72621948,7.897963696,168.6058058,rice
81,36,27,28,71,29,23.49222535,7.562552485,97.42894584,maize
36,73,79,11,5,25,17.08779389,6.014256976,71.31317715,chickpea
21,77,22,9,14,64,25.47214159,7.572971525,42.88844628,lentil
4,7,40,21,5,6,22.55570454,7.301298199,115.8937877,pomegranate
119,93,53,42,62,20,25.90671043,7.249075405,112.6268737,banana
2,20,33,41,55,60,30.51233889,5.970858569,80.80546906,mango
11,133,197,34,51,31,21.98142698,7.12326557,71.15544698,grapes
34,130,205,35,130,27,22.12695357,7.908775279,123.9521717,apple
19,21,32,42,8,8,27.18076085,7.491050209,101.2224902,orange
113,47,82,10,8,44,20.90245494,8.967324977,69.51143588,cotton
36,22,14,31,5,8,24.21123384,7.959643106,107.4157702,coffee
107,14,34,23,2,5,25.56965452,7.796767909,183.2596105,rice
71,58,21,19,55,39,18.2641114,7.196451594,75.34043707,maize
56,56,80,13,10,37,18.60953547,8.661525094,87.72028491,chickpea
19,68,22,10,13,64,26.48291862,7.898579913,52.37295668,lentil
41,18,31,23,6,5,23.58411878,7.744053882,111.4689347,pomegranate
78,76,47,46,62,13,29.28170916,6.946168786,112.790163,banana
24,37,20,51,13,67,32.49234181,4.853963913,85.50184203,mango
22,145,195,38,36,38,24.12441027,6.722336414,73.30687731,grapes
30,145,202,50,88,39,22.56122559,6.690341628,125.9342464,apple
21,15,13,50,12,17,21.05988258,8.504727537,101.3935069,orange
81,48,18,17,108,30,24.85013366,5.878950482,66.62784477,cotton
112,27,27,49,5,67,27.46147585,5.939573549,150.1060881,coffee
68,54,37,22,11,4,24.97871208,8.776024072,168.4513403,rice
95,39,22,29,71,33,24.02100325,7.092248835,115.2031159,maize
59,75,83,12,5,28,19.70240145,8.562705175,77.11704761,chickpea
27,66,18,6,9,48,26.49872593,7.561037353,42.52460898,lentil
8,29,42,23,5,5,24.01397426,7.364816144,104.4193364,pomegranate
89,74,52,46,55,16,26.17197053,8.374806444,118.8488357,banana
12,29,29,60,58,70,35.9361865,7.35171818,105.3380785,mango
5,138,197,46,40,24,23.54902693,7.412104751,73.36971508,grapes
10,122,202,43,65,39,20.14449821,7.417990494,113.2894022,apple
21,22,41,30,11,4,21.42434744,6.167985364,111.1364377,orange
95,40,14,21,57,35,21.28213529,7.049767602,184.787108,cotton
88,21,16,23,63,34,29.3339915,6.260655989,180.0399293,coffee
96,19,46,16,4,2,20.97938905,7.834761863,242.0071077,rice
76,36,32,30,80,7,24.74291207,7.317467943,185.1210765,maize
78,67,82,13,11,28,17.84656703,8.888356762,63.98935304,chickpea
10,75,15,8,13,60,26.84716329,7.336438038,49.36568351,lentil
37,22,41,19,2,1,20.70366535,6.922110175,102.1062743,pomegranate
113,95,55,22,52,18,26.38820057,6.637799435,126.6927823,banana
30,29,34,60,56,80,32.77033185,4.846268527,96.58523691,mango
24,129,198,32,47,29,23.74626219,6.183118186,72.80246572,grapes
5,144,198,38,66,31,22.99781996,6.805216088,119.0233218,apple
25,18,12,39,10,2,25.1765238,7.861473086,121.7394342,orange
136,52,16,4,112,26,25.08264296,6.064660403,86.34945315,cotton
81,21,16,26,3,5,24.88607135,7.40801358,80.00560087,coffee
73,47,24,20,7,7,24.24911706,6.02934388,106.8527969,rice
85,43,19,24,76,30,24.25169523,8.230119893,178.4507741,maize
69,76,83,12,9,37,16.71792525,8.306802194,79.37702047,chickpea
14,43,20,7,8,45,26.61294093,7.202250498,42.40604,lentil
7,20,31,31,7,2,23.58186703,6.97586134,121.8282254,pomegranate
113,65,47,15,54,3,28.69225253,5.991584581,104.3200842,banana
9,36,29,45,61,80,34.22724555,5.715443169,94.89675535,mango
36,139,197,31,41,43,23.93433886,6.908444538,70.95510031,grapes
0,128,201,42,37,29,22.98421496,6.765123955,117.9501308,apple
21,15,17,28,11,8,21.2261937,8.333350297,114.0893033,orange
113,51,19,4,108,33,23.29352792,8.496208372,71.71462865,cotton
103,26,28,19,3,5,27.14173049,7.924732431,195.7374956,coffee
83,39,35,16,9,2,21.14946287,5.76482124,182.4590278,rice
82,45,21,31,69,36,25.31315089,6.268045528,103.0673518,maize
46,76,81,12,5,22,18.05738039,8.336320967,80.47311546,chickpea
26,75,19,10,7,62,27.73063101,8.838412041,45.90393842,lentil
12,7,40,25,5,5,20.96749813,7.378670182,104.9507835,pomegranate
103,90,36,45,57,16,25.08163044,7.113944293,112.1082502,banana
7,34,28,59,57,78,29.50794347,4.764440566,89.1728203,mango
20,136,198,37,33,40,19.85813151,6.862901851,75.83730513,grapes
2,57,200,33,80,32,23.58934634,7.057219653,113.1486786,apple
97,31,11,49,8,3,20.49342486,8.675756165,113.2941306,orange
101,52,20,6,108,29,24.82543346,9.006813629,84.6076821,cotton
25,58,37,58,3,63,26.85515783,5.798558642,185.3268688,coffee
70,8,40,22,4,4,21.9007718,8.174372592,214.9201165,rice
103,39,20,23,63,42,24.84333918,6.21765908,99.87571017,maize
20,80,79,12,9,39,20.41567079,8.538261545,92.3903705,chickpea
4,77,16,10,14,58,25.58800746,6.982096573,51.44261716,lentil
7,16,45,23,5,6,21.86098918,6.496309447,99.0272498,pomegranate
112,89,54,27,46,17,26.97351759,5.444177179,116.6727286,banana
2,35,38,58,52,80,28.17529173,5.813332967,76.31442458,mango
3,135,202,48,42,40,23.97729691,7.493620307,71.70499435,grapes
29,135,203,45,131,49,21.98219021,7.00589748,120.8896984,apple
28,14,7,32,13,15,30.28349122,7.032216266,106.4103483,orange
129,41,15,5,112,39,25.38348242,6.747637735,88.83780992,cotton
88,24,23,21,8,4,23.71841055,6.227696605,112.0677367,coffee
69,51,41,18,7,7,23.90071134,7.641182292,197.7814098,rice
104,39,20,24,50,43,19.7024019,7.399385757,68.77154273,maize
35,66,84,8,5,30,19.6862699,8.080301532,84.92857957,chickpea
42,69,20,11,12,63,28.814114,7.055865263,40.29988612,lentil
106,13,40,20,3,7,24.34249229,7.00078247,100.7938016,pomegranate
107,89,52,43,59,20,30.12886853,6.711139615,112.3457842,banana
9,19,36,55,52,62,35.51328183,6.017351121,101.7037961,mango
1,142,204,29,43,43,21.47799435,6.987337832,80.26388604,grapes
35,134,204,30,91,50,23.18950004,6.484003334,118.3439707,apple
23,27,5,40,17,12,19.1569336,6.58810273,110.2214864,orange
133,45,33,3,84,19,24.93751916,8.624302828,93.58588494,cotton
107,24,35,24,1,2,24.11335741,8.509426543,121.4455966,coffee
64,23,36,31,6,10,21.40929054,7.466535282,87.06451069,rice
91,49,30,27,61,28,24.33714373,6.464469766,65.88494351,maize
41,58,86,13,4,24,18.93984655,8.553963716,91.86514642,chickpea
6,77,23,12,9,54,24.76621439,7.008820936,50.51273681,lentil
21,9,41,27,2,3,21.31330892,6.597114549,115.22491,pomegranate
113,91,50,41,49,19,28.30655479,7.23478343,112.5481179,banana
4,31,37,52,67,76,34.88516236,4.566605252,107.0963638,mango
10,143,199,47,30,51,23.98569351,7.021631769,72.57212005,grapes
16,126,203,46,125,46,22.18963985,5.924696176,111.4280173,apple
12,9,8,38,13,16,30.01402777,6.318603499,107.9955433,orange
99,43,17,2,109,33,24.35822782,7.044121867,88.26823964,cotton
104,33,20,50,68,71,31.30208501,7.055909086,99.7014266,coffee
99,41,42,21,5,5,24.63776889,6.183930174,212.1426606,rice
95,35,25,22,5,42,27.93345085,5.745473187,142.9294494,maize
61,56,82,9,13,36,18.07016209,7.314354755,69.65224209,chickpea
7,82,32,12,9,60,27.35187984,6.937378695,40.40531025,lentil
1,7,27,20,5,4,19.22148993,7.764495585,105.680167,pomegranate
115,92,49,41,58,17,25.08715411,7.276526786,113.7744284,banana
28,41,33,48,58,75,27.02583647,6.137575293,96.31436977,mango
25,145,199,31,44,40,23.99192034,6.751538764,79.84803074,grapes
27,120,204,30,3,30,22.73610872,6.04975975,106.9006439,apple
15,7,5,38,9,10,29.14056262,8.393744101,102.4801875,orange
107,38,15,2,110,27,24.38419901,7.147079102,90.20451288,cotton
94,41,34,18,2,1,28.58839859,5.768494454,171.406278,coffee
102,34,40,22,4,6,21.33115411,7.072880622,250.2241449,rice
64,47,18,31,78,39,23.69213514,6.267134374,65.57026582,maize
43,76,83,12,6,25,17.72141708,5.866994044,74.01039019,chickpea
30,77,22,11,15,61,18.4025736,8.145070854,49.58158713,lentil
33,21,37,19,4,4,21.85250052,7.053996392,110.6670806,pomegranate
112,80,42,44,51,20,24.98803286,5.854600871,112.501523,banana
28,39,37,44,57,64,34.86268041,5.903357151,89.01224007,mango
35,145,200,48,48,47,11.04345115,6.784176141,76.55877318,grapes
4,126,202,41,135,39,23.14546451,6.35899124,124.4473318,apple
31,5,15,31,12,15,22.0422806,6.239104531,110.7513864,orange
108,39,28,8,93,28,26.76114677,7.823754078,99.14897749,cotton
107,19,26,22,1,1,23.18823814,9.227841785,114.3042692,coffee
89,39,41,21,7,5,20.12866552,7.201058999,114.6170062,rice
71,57,16,24,57,31,23.70963564,6.799473511,73.61835547,maize
46,55,78,11,12,37,20.43094359,7.465154729,67.43697387,chickpea
9,77,26,8,16,62,26.23782173,7.483902817,40.23179241,lentil
36,12,36,23,1,2,20.04945626,7.025084458,102.6030525,pomegranate
116,98,53,32,59,20,30.62020148,7.100227231,98.27779188,banana
4,26,32,48,52,66,36.50086609,6.980742338,98.9033134,mango
30,125,198,40,37,45,22.24891355,5.899670314,69.73686355,grapes
1,128,204,31,39,48,23.374956,6.926221435,121.3296307,apple
7,26,11,25,7,9,24.95873959,7.414105092,98.31854905,orange
131,32,27,7,93,20,23.72795655,6.542117755,78.61356746,cotton
104,25,32,21,7,3,25.3218201,5.754743745,184.003199,coffee
24,122,46,19,49,48,28.76587448,5.726891439,73.07387832,rice
58,40,21,32,82,43,24.61847844,7.476994011,87.22964188,maize
62,69,86,9,6,39,19.08909802,6.051205146,79.17766092,chickpea
32,79,30,10,14,64,28.34350362,6.027222754,49.08086506,lentil
61,38,40,21,4,4,22.67402672,6.023580847,110.9669258,pomegranate
93,92,54,45,47,21,28.84986473,6.706628651,120.8975527,banana
36,40,42,60,56,73,31.57203214,5.359362204,89.7457006,mango
3,134,200,37,38,36,22.67099066,7.109895989,72.43585179,grapes
24,133,197,38,39,39,22.33875893,6.994550995,124.418673,apple
15,20,46,42,8,13,26.38791813,6.255238401,96.86116717,orange
135,48,22,6,85,28,26.51869804,6.906040583,84.09277268,cotton
93,28,30,57,6,3,26.56939812,7.246707326,153.5782063,coffee
87,60,34,26,5,3,21.0637597,8.186911169,194.6348651,rice
90,42,16,28,88,34,25.72221659,7.151904289,94.64382862,maize
68,68,82,13,11,42,20.58240771,8.958804781,66.44556068,chickpea
31,79,20,10,11,37,18.70256076,6.88158806,47.63575488,lentil
4,20,38,18,5,2,21.32087812,7.098467427,100.6581218,pomegranate
103,93,42,28,60,19,28.74955666,7.1681944,117.1957289,banana
30,29,24,56,48,64,35.81777771,7.649153313,100.561473,mango
24,140,197,49,33,35,25.69956371,7.034536861,72.13016484,grapes
6,122,204,49,103,19,23.25712978,7.512024518,115.2085893,apple
35,8,13,44,11,10,19.93417015,8.658291854,102.856256,orange
124,44,23,3,108,30,25.64487406,7.104651729,70.30705279,cotton
92,38,17,27,15,8,23.24223783,7.430803933,114.6583936,coffee
99,52,46,19,1,1,24.1872952,6.623531626,201.1731694,rice
88,45,20,26,66,33,24.15802382,6.174765824,92.57757665,maize
51,55,82,12,4,32,17.90793365,6.222983774,75.57195174,chickpea
1,77,23,11,13,61,27.4244287,7.442407074,47.86933447,lentil
10,30,29,22,4,4,26.01054947,6.594548105,110.9303626,pomegranate
91,79,30,38,70,18,23.43943619,6.176555453,113.1251857,banana
24,38,36,39,62,74,30.10747605,5.264994929,89.17778576,mango
13,145,200,32,50,30,23.11789258,6.236074175,78.35271655,grapes
23,145,200,53,78,27,24.05056085,6.545582051,123.3952194,apple
1,20,12,42,11,7,20.45911051,6.75123164,102.1886044,orange
116,38,17,20,3,49,24.34765068,8.107088508,187.3646343,cotton
25,21,18,59,48,51,33.77806382,6.07743035,104.3357238,coffee
61,20,49,16,5,1,22.46567566,6.793242666,200.6190886,rice
86,45,23,23,86,34,21.27543408,6.409633071,57.87430366,maize
58,58,81,7,5,38,19.02423534,5.697647697,70.25708773,chickpea
5,74,22,9,13,60,26.69352072,8.03480845,46.92900915,lentil
1,18,33,23,3,4,23.64855008,7.826312164,107.0451568,pomegranate
110,77,55,42,64,17,30.8413692,7.416297745,107.2407128,banana
9,23,32,40,60,74,32.58204639,5.789236561,103.7499906,mango
3,132,195,35,36,35,28.53377243,6.668970949,60.62500314,grapes
15,128,205,33,42,39,21.58086421,7.439276859,121.3257021,apple
22,24,16,39,11,14,18.0563374,6.999945101,100.9651615,orange
131,48,15,5,79,38,25.22092398,6.805935807,81.78660787,cotton
73,46,34,21,70,7,26.13783124,8.548246677,110.059906,coffee
104,44,26,30,12,4,21.4619162,7.568174803,276.2954335,rice
92,36,15,22,70,42,26.57686666,6.189303561,73.66434898,maize
35,78,85,12,14,46,17.93461417,6.737837386,72.04655975,chickpea
22,80,25,12,12,38,21.69687276,7.317508478,42.53892577,lentil
12,29,31,25,3,4,21.37865747,6.89590871,114.2001068,pomegranate
96,79,45,26,56,14,31.31319853,7.503463762,111.9330744,banana
23,29,36,58,76,68,35.3908109,7.518321694,84.447607,mango
35,120,200,31,47,48,20.09390499,5.828932782,71.81681447,grapes
4,142,196,39,83,32,24.42381538,6.792502252,121.0392095,apple
8,21,5,46,6,8,26.17685137,7.745177397,115.480601,orange
118,41,21,3,108,31,23.01459838,8.713504315,87.79242914,cotton
14,38,24,52,49,77,28.14259546,7.021875447,91.42538218,coffee
99,39,43,20,3,2,19.98618452,6.216817349,265.1092789,rice
103,39,18,21,50,39,23.80559621,6.305857822,98.67567185,maize
60,54,80,12,11,41,20.83877872,8.449847592,60.89987086,chickpea
7,63,23,10,13,45,29.59425956,7.553736914,41.26599619,lentil
12,27,43,31,3,2,21.9644802,7.068630219,114.5895995,pomegranate
101,80,52,43,62,17,30.65839764,7.183450407,114.9587301,banana
36,13,29,42,108,65,27.86475225,6.6249638,95.64382961,mango
24,136,201,30,35,43,23.34147259,6.721957936,74.64494519,grapes
14,133,203,52,68,25,23.37367332,6.799399051,117.8929897,apple
30,80,36,27,9,45,24.8267155,7.133514008,110.9623157,orange
120,40,33,4,108,26,23.00972228,6.47894612,196.1255924,cotton
85,33,33,18,4,4,27.40655587,5.822179278,194.2769056,coffee
34,48,30,50,7,43,31.46503906,7.644600322,75.6546505,rice
104,39,28,23,69,26,20.49467496,6.342957225,78.25893075,maize
47,60,80,10,10,33,19.64458551,8.578617515,72.2642574,chickpea
29,56,24,15,11,60,25.78257909,7.378397605,53.19214564,lentil
36,10,37,20,2,2,22.7279138,7.702560209,108.5197351,pomegranate
105,67,38,43,64,21,29.98797681,7.559726692,93.21592369,banana
35,40,29,36,3,30,36.59754146,7.081806533,103.0007799,mango
28,131,200,41,48,36,27.2369203,5.88829366,77.54477862,grapes
32,124,204,28,54,26,21.71257439,6.140060746,121.1752364,apple
8,22,13,49,13,9,25.79830786,7.152733831,121.5308458,orange
134,38,28,3,114,47,26.13767357,8.825291561,84.1450904,cotton
74,46,41,22,2,1,23.87783818,5.985348179,243.9138299,coffee
117,44,47,20,2,1,22.71655669,6.739665824,228.701285,rice
83,58,16,31,76,39,25.32042191,7.897479647,69.36333036,maize
53,67,81,7,9,41,17.61590239,8.578963036,87.96839684,chickpea
14,79,25,11,8,66,21.89046025,7.628396175,36.98715006,lentil
42,25,30,22,9,2,20.94306196,7.069022225,104.0105939,pomegranate
120,66,44,36,64,17,30.11861489,7.123417926,104.0605835,banana
5,54,30,11,69,43,27.04099072,5.931630655,92.28709144,mango
1,141,197,33,33,34,30.1894429,7.488286172,76.95829615,grapes
3,130,200,40,64,39,23.70344492,7.468443998,115.2968249,apple
37,9,17,49,14,14,18.04704572,6.647227196,111.8925237,orange
82,57,25,3,116,36,25.13720746,7.856563005,70.34327008,cotton
84,21,28,60,5,6,29.55509986,6.094569514,184.0390662,coffee
112,46,45,21,1,1,20.3182203,9.498065725,206.0127907,rice
94,50,16,28,58,36,24.12028176,5.994305724,63.24415694,maize
39,64,85,8,9,36,21.05554563,9.13712606,81.6387813,chickpea
14,80,22,10,14,43,23.43293856,7.984727316,53.70140308,lentil
6,10,44,20,1,6,19.56055998,7.281627841,109.1128464,pomegranate
110,95,53,38,56,20,24.39904457,7.028744805,116.1044494,banana
9,25,30,49,52,66,29.26691426,5.754340593,95.15076492,mango
38,136,198,44,51,40,22.56490109,7.256553043,68.38647147,grapes
4,143,201,42,72,32,23.32005168,5.75400915,115.4553196,apple
89,11,14,20,78,6,23.4445885,8.948632008,104.7025312,orange
137,41,23,5,104,43,25.27579206,7.054582061,85.12248938,cotton
28,38,35,39,59,36,27.45680518,6.11915386,89.1150073,coffee
9,8,42,31,5,4,26.00428031,7.061116204,110.6138845,rice
84,41,23,29,72,41,26.7738186,5.971494337,90.30899747,maize
57,44,83,7,9,31,18.07603977,8.671000073,87.92507549,chickpea
27,80,23,10,11,64,26.70983923,8.769937923,39.95988506,lentil
41,10,36,21,6,2,20.20591493,7.040998943,108.1643622,pomegranate
112,73,53,45,59,20,30.60480028,6.317538978,106.7768948,banana
11,28,27,48,59,65,29.57887907,4.61622162,87.04846914,mango
40,145,197,45,35,42,10.7220016,6.882716119,76.13731529,grapes
23,142,203,50,132,44,24.75173268,6.022106243,124.7691112,apple
5,5,11,27,15,16,23.16126166,6.580946303,105.0740303,orange
113,40,23,3,116,45,27.2828209,8.661589082,85.3359478,cotton
106,28,31,26,5,7,22.41652013,8.085706982,196.7796508,coffee
111,35,36,23,7,5,20.58729743,5.988952865,175.9518508,rice
98,59,23,20,77,29,26.32111822,7.35992592,72.8590657,maize
60,77,79,5,9,25,18.20861816,6.646889279,73.87888502,chickpea
30,79,22,11,8,46,30.19014749,6.086632495,35.0349831,lentil
34,16,32,24,1,7,18.93545067,8.306479975,119.0796597,pomegranate
100,92,44,25,53,14,28.15276263,6.338827131,116.6964144,banana
27,27,30,37,46,78,28.2113307,5.846486085,100.3833243,mango
32,126,204,47,35,55,24.1613736,6.836461264,73.30794209,grapes
8,125,205,43,44,44,22.81035207,6.526044753,121.1633451,apple
18,17,13,26,11,8,23.41191764,5.72589944,101.6797819,orange
116,38,34,2,97,27,21.81284968,8.85209702,76.15717266,cotton
7,32,46,30,3,3,22.42417435,8.030110085,130.5513571,coffee
74,10,38,19,4,1,21.11767992,8.059355441,299.5225512,rice
115,64,21,25,67,40,24.54850486,7.170367221,107.091568,maize
20,69,80,8,5,46,18.0658504,6.021246857,69.44265288,chickpea
26,69,24,14,13,59,27.67844107,8.714723821,45.27961191,lentil
12,14,44,23,5,4,20.29576623,7.86175972,110.5882125,pomegranate
85,84,49,36,50,16,29.26274392,5.578199106,115.1604883,banana
9,41,30,59,47,73,31.55285913,7.625002798,91.2942719,mango
35,142,197,27,36,38,28.8388094,7.497882959,71.21516751,grapes
11,133,201,48,75,34,22.5297865,6.379694592,115.1806601,apple
5,16,14,45,12,14,28.29590729,7.272120087,104.4713887,orange
116,42,23,3,98,34,22.62891783,7.049009217,63.5278392,cotton
117,39,36,57,6,6,27.84455732,6.960391878,137.0559867,coffee
95,36,36,22,4,3,25.23088881,8.146972315,253.816194,rice
84,60,20,28,54,32,23.66239619,6.494778166,75.97057889,maize
70,78,78,14,14,27,22.09594565,8.925720208,272.8340221,chickpea
37,85,18,9,16,66,22.93376922,7.541186586,43.35689057,lentil
9,23,38,21,7,3,21.31588521,7.128899071,108.2610711,pomegranate
86,94,53,35,46,15,28.01958139,7.352517685,123.5774019,banana
